fid,Arbolado y Vegetación,Limpieza Viaria,Contaminación Sonora,Señaización       H y V,Sendas Peatonales,Obras en Construcción,Presencia de Obstáculos,Distancias Paradas TP,Actividad Comercial,Área Movilidad Motorizada,Ancho Vereda Útil,Estado de Vereda,Mobiliario Urbano,Pendientes,Movilidad Reducida,Estado Rampas,Guía no Videntes,IC,Tipo
318,1,3,1,3,2,4,1,4,4,2,4,3,1,1,2,1,1,"55,8823529411765",impar
319,1,4,1,4,4,4,1,4,4,2,4,1,2,1,2,1,1,"60,2941176470588",impar
320,2,4,1,1,4,4,1,4,4,2,1,3,1,1,2,1,1,"54,4117647058823",impar
321,1,3,1,1,4,4,1,4,0,2,4,4,1,1,3,4,1,"57,3529411764706",impar
322,1,3,1,3,4,4,1,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
323,1,2,1,1,4,3,4,4,4,2,4,3,2,1,2,1,1,"58,8235294117647",impar
324,1,4,1,3,2,4,1,4,4,2,4,4,3,1,2,1,1,"61,7647058823529",impar
329,4,2,1,3,2,4,1,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
330,3,4,1,3,1,4,4,4,4,2,4,3,3,3,2,3,1,"72,0588235294118",impar
331,1,2,1,3,4,4,1,4,4,2,4,1,2,1,2,1,1,"55,8823529411765",impar
332,1,4,1,3,4,4,4,4,4,2,4,3,3,1,2,2,1,"69,1176470588235",impar
333,1,4,1,1,4,4,4,4,0,2,4,3,3,1,3,4,1,"64,7058823529412",impar
336,1,4,1,1,4,4,4,4,0,2,4,3,1,1,2,1,1,"55,8823529411765",impar
337,1,4,4,3,4,4,4,4,4,2,1,3,3,1,2,1,1,"67,6470588235294",impar
338,1,3,1,3,2,4,1,4,4,2,4,4,4,1,2,1,1,"61,7647058823529",impar
339,1,4,1,3,2,4,4,4,4,2,4,4,3,1,2,1,1,"66,1764705882353",impar
340,1,1,1,3,4,4,4,4,0,2,4,3,1,1,2,1,1,"54,4117647058823",impar
342,1,4,1,1,2,4,4,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
343,2,3,1,4,4,4,4,4,4,2,4,3,3,1,2,1,1,"69,1176470588235",impar
346,1,4,1,1,2,4,1,4,4,2,4,4,3,1,2,1,1,"58,8235294117647",impar
347,1,4,1,3,2,4,4,4,4,2,4,4,3,1,2,1,1,"66,1764705882353",impar
348,1,4,1,1,2,4,4,4,4,2,4,1,2,1,2,1,1,"57,3529411764706",impar
350,1,4,1,3,4,4,4,4,4,2,4,3,3,1,2,2,1,"69,1176470588235",impar
352,2,3,1,1,4,4,1,4,4,2,4,1,3,1,2,2,1,"58,8235294117647",impar
355,2,1,1,4,2,4,4,4,4,2,4,3,2,4,2,1,1,"66,1764705882353",impar
357,1,3,1,3,4,4,1,4,0,2,4,3,1,1,2,1,1,"52,9411764705882",impar
358,1,4,1,3,4,4,1,4,4,2,4,4,3,1,3,1,1,"66,1764705882353",impar
359,1,4,1,4,4,4,4,4,4,2,4,3,1,1,2,4,1,"70,5882352941177",impar
360,3,4,1,3,4,4,4,4,4,2,4,3,3,1,3,3,1,75,impar
361,1,4,1,1,4,4,4,4,0,2,4,3,4,1,2,1,1,"60,2941176470588",impar
365,1,3,1,3,4,4,1,4,4,2,4,3,3,1,3,3,1,"66,1764705882353",impar
366,1,4,1,1,4,4,1,4,4,2,4,1,1,1,2,1,1,"54,4117647058823",impar
367,1,4,1,3,4,4,4,4,4,2,4,3,1,1,4,3,1,"70,5882352941177",impar
368,1,4,1,1,4,4,4,4,0,2,4,3,2,1,2,3,1,"60,2941176470588",impar
370,1,3,1,3,4,4,4,4,4,2,4,4,3,2,3,3,1,"73,5294117647059",impar
371,2,3,1,3,4,4,4,4,4,2,4,3,2,1,2,1,1,"66,1764705882353",impar
372,3,4,1,1,4,4,4,4,4,2,4,3,3,1,3,2,1,"70,5882352941177",impar
377,3,1,1,4,4,4,1,4,0,2,4,1,1,1,3,4,1,"57,3529411764706",impar
378,1,3,1,3,4,4,4,4,4,2,4,1,2,1,2,1,1,"61,7647058823529",impar
379,1,4,1,1,4,4,4,4,0,2,4,3,3,1,2,1,1,"58,8235294117647",impar
380,1,4,1,1,2,4,1,4,4,2,4,3,1,1,2,1,1,"54,4117647058823",impar
382,1,2,1,3,2,4,4,4,4,2,4,4,2,1,3,4,1,"67,6470588235294",impar
383,1,2,1,3,1,4,1,4,0,2,4,1,2,1,2,1,1,"45,5882352941176",impar
384,1,3,1,3,2,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
385,2,3,1,1,2,4,1,4,4,2,1,3,2,1,2,1,1,"51,4705882352941",impar
386,1,4,1,3,2,4,4,4,4,2,1,1,3,1,3,4,1,"63,2352941176471",impar
387,1,4,1,3,4,2,1,4,4,2,4,3,2,1,2,2,1,"60,2941176470588",impar
388,2,4,1,3,4,4,4,4,4,2,4,4,3,1,3,2,1,"73,5294117647059",impar
389,1,3,1,3,2,4,1,4,4,2,4,3,1,1,3,1,1,"57,3529411764706",impar
390,1,3,1,1,2,4,4,4,4,2,4,3,3,1,2,1,1,"60,2941176470588",impar
391,1,3,1,3,4,4,4,4,4,2,4,3,3,1,3,4,1,"72,0588235294118",impar
392,1,4,1,1,4,4,4,4,0,2,4,4,3,1,2,1,1,"60,2941176470588",impar
393,1,3,1,3,4,4,1,4,4,2,1,1,1,1,3,2,1,"54,4117647058823",impar
394,1,4,1,1,4,4,4,4,4,2,4,1,3,1,3,4,1,"67,6470588235294",impar
395,2,2,1,3,4,4,4,4,4,2,4,3,3,1,2,2,1,"67,6470588235294",impar
396,1,3,1,4,4,4,1,4,4,2,4,1,2,1,2,1,1,"58,8235294117647",impar
398,1,3,1,1,4,4,4,4,4,2,4,3,2,1,2,1,1,"61,7647058823529",impar
399,1,2,1,3,4,4,4,4,4,2,4,3,2,1,2,1,1,"63,2352941176471",impar
400,1,3,1,1,4,4,4,4,4,2,4,3,3,1,3,2,1,"66,1764705882353",impar
401,3,4,1,3,4,4,4,4,4,2,4,4,3,1,2,1,1,"72,0588235294118",impar
404,1,3,1,3,4,4,4,4,4,2,4,1,1,1,2,1,1,"60,2941176470588",impar
405,1,4,1,1,4,4,4,4,4,2,4,3,3,1,2,1,1,"64,7058823529412",impar
408,1,3,1,1,4,4,1,4,4,2,4,3,1,2,2,4,1,"61,7647058823529",impar
409,1,3,1,3,4,4,4,4,4,2,4,3,3,1,3,4,1,"72,0588235294118",impar
410,1,4,1,1,4,4,4,4,0,2,4,3,3,1,2,1,1,"58,8235294117647",impar
412,1,4,1,1,4,4,4,4,4,2,4,4,1,3,3,4,1,"72,0588235294118",impar
413,1,3,1,3,2,4,1,4,4,2,4,1,1,1,2,1,1,"52,9411764705882",impar
416,3,3,1,1,4,4,1,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
418,1,3,1,1,4,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
419,2,3,1,3,4,4,4,4,4,2,4,3,3,1,2,2,1,"69,1176470588235",impar
420,4,4,1,4,4,4,4,4,0,2,1,4,3,1,3,3,1,"69,1176470588235",impar
421,1,4,1,3,4,4,4,4,0,2,4,3,1,1,2,1,1,"58,8235294117647",impar
422,1,3,1,3,4,4,4,4,4,2,4,3,3,1,2,1,1,"66,1764705882353",impar
423,1,1,1,3,4,4,1,4,4,2,4,1,3,1,2,1,1,"55,8823529411765",impar
424,2,4,1,3,2,4,4,4,4,2,4,3,3,1,2,1,1,"66,1764705882353",impar
425,1,4,1,1,4,4,4,4,4,4,4,3,3,4,3,4,1,"77,9411764705882",impar
429,1,4,1,1,1,4,1,4,4,2,4,1,1,2,2,1,1,"51,4705882352941",impar
430,1,3,1,3,2,4,4,4,4,2,4,3,2,3,2,1,1,"64,7058823529412",impar
432,2,3,1,3,4,4,1,4,4,2,1,3,3,1,2,2,1,"60,2941176470588",impar
433,1,3,1,3,2,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
434,3,3,1,1,2,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
435,1,3,1,1,4,4,4,4,0,2,4,1,3,1,2,1,1,"54,4117647058823",impar
436,1,4,1,3,2,4,4,4,4,2,4,4,3,1,2,1,1,"66,1764705882353",impar
437,3,3,1,1,2,4,4,4,4,2,4,3,2,1,2,2,1,"63,2352941176471",impar
438,1,4,1,1,4,4,4,4,4,2,4,4,3,1,2,1,4,"70,5882352941177",impar
439,1,4,1,1,4,4,4,4,4,2,4,3,3,1,2,1,1,"64,7058823529412",impar
440,1,2,1,1,4,4,1,4,4,2,4,1,3,1,2,1,1,"54,4117647058823",impar
441,1,3,1,3,4,4,4,4,4,2,1,3,1,1,3,2,1,"61,7647058823529",impar
442,1,4,1,3,2,4,1,4,4,2,4,1,3,1,2,1,1,"57,3529411764706",impar
444,1,4,1,3,1,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
446,1,4,1,3,2,4,4,4,4,2,4,4,2,1,2,1,1,"64,7058823529412",impar
448,1,3,1,3,4,4,1,4,4,2,4,1,1,1,2,1,1,"55,8823529411765",impar
449,1,2,1,1,4,4,1,4,4,2,4,1,3,1,2,1,1,"54,4117647058823",impar
450,1,2,1,3,4,4,1,4,4,2,4,3,1,1,2,4,1,"61,7647058823529",impar
451,1,2,1,4,4,4,1,4,4,2,4,3,3,2,2,1,1,"63,2352941176471",impar
452,1,3,1,1,2,4,4,4,4,2,4,3,2,3,2,1,1,"61,7647058823529",impar
454,1,3,1,1,2,4,4,4,4,2,4,3,2,1,2,1,1,"58,8235294117647",impar
459,2,3,1,3,1,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
460,1,4,1,3,1,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
461,1,1,1,1,4,4,1,4,4,2,4,1,3,1,2,2,1,"54,4117647058823",impar
462,1,1,1,1,4,4,4,4,4,2,1,3,2,1,2,1,1,"54,4117647058823",impar
463,1,4,1,1,4,4,4,4,4,2,4,3,1,1,2,1,1,"61,7647058823529",impar
464,1,1,1,1,2,4,1,4,4,2,4,1,3,1,2,1,1,50,impar
465,1,1,1,4,4,4,1,4,4,2,4,1,3,1,2,1,1,"57,3529411764706",impar
466,1,4,1,3,2,4,4,4,0,2,4,3,1,1,2,1,1,"55,8823529411765",impar
469,1,4,1,1,4,4,1,4,4,2,4,3,3,1,2,1,1,"60,2941176470588",impar
472,1,1,1,1,2,4,1,4,4,2,4,1,3,1,1,1,1,"48,5294117647059",impar
473,1,2,1,3,4,4,1,4,4,2,4,1,1,1,2,1,1,"54,4117647058823",impar
474,1,4,1,3,4,4,4,4,4,2,4,3,1,2,3,2,1,"69,1176470588235",impar
475,2,3,1,3,4,4,4,4,4,2,4,4,3,1,2,1,1,"69,1176470588235",impar
477,1,3,1,1,2,4,4,4,4,4,1,4,1,1,2,1,1,"57,3529411764706",impar
478,1,4,1,1,4,4,4,4,4,2,4,3,1,1,3,1,1,"63,2352941176471",impar
479,1,3,1,1,2,4,4,4,4,2,4,3,3,1,2,2,1,"61,7647058823529",impar
480,1,1,1,3,4,4,1,4,4,2,4,3,2,3,3,1,1,"61,7647058823529",impar
481,1,3,1,3,2,2,1,4,4,2,4,3,3,1,2,1,1,"55,8823529411765",impar
484,1,2,1,3,4,4,4,4,4,2,4,3,1,2,2,1,1,"63,2352941176471",impar
485,1,4,1,1,2,4,4,4,4,2,4,4,2,1,2,1,1,"61,7647058823529",impar
487,1,2,1,1,4,4,1,4,4,2,4,3,2,1,2,1,1,"55,8823529411765",impar
488,4,4,1,1,4,4,4,4,4,2,4,4,3,1,2,1,1,"70,5882352941177",impar
489,1,3,1,1,2,4,4,4,4,2,4,3,3,1,2,1,1,"60,2941176470588",impar
490,1,3,1,1,4,4,1,4,4,2,4,3,2,1,2,1,1,"57,3529411764706",impar
491,1,2,1,3,4,4,1,4,4,2,4,1,3,1,2,1,1,"57,3529411764706",impar
492,1,4,1,1,4,4,4,4,4,2,4,3,1,1,4,2,1,"66,1764705882353",impar
497,1,3,1,1,2,4,1,4,0,2,4,3,2,2,2,1,1,50,impar
501,1,4,1,1,2,4,1,4,4,2,4,4,2,1,2,1,1,"57,3529411764706",impar
503,2,4,1,3,2,4,4,4,0,2,4,3,3,1,2,1,1,"60,2941176470588",impar
504,1,3,1,3,4,3,1,4,4,2,4,3,2,1,2,1,1,"58,8235294117647",impar
505,2,3,1,4,2,4,4,4,0,2,2,4,3,1,2,1,1,"58,8235294117647",impar
506,3,3,1,4,4,4,4,4,4,2,4,3,3,1,3,3,1,75,impar
507,1,3,1,1,4,4,1,4,4,2,4,3,1,1,2,1,1,"55,8823529411765",impar
508,1,4,1,3,4,4,1,4,4,2,4,3,1,1,2,1,1,"60,2941176470588",impar
509,1,3,1,3,2,4,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
510,1,1,1,3,4,4,4,4,4,2,4,4,3,3,2,1,1,"67,6470588235294",impar
513,1,2,1,1,4,4,4,4,4,2,4,3,2,2,2,1,1,"61,7647058823529",impar
514,3,4,1,1,4,4,4,4,4,2,4,4,3,1,3,2,1,"72,0588235294118",impar
515,1,4,1,3,2,4,4,4,4,2,4,3,3,1,2,1,1,"64,7058823529412",impar
517,2,2,1,3,2,4,1,4,4,2,4,3,3,1,2,1,1,"58,8235294117647",impar
518,1,4,1,3,4,4,1,4,4,2,4,3,2,4,2,1,4,"70,5882352941177",impar
519,1,4,1,3,2,4,4,4,4,2,4,4,2,1,2,1,1,"64,7058823529412",impar
520,1,2,1,4,4,4,4,4,4,2,4,3,3,3,2,1,1,"69,1176470588235",impar
525,1,3,1,3,4,4,4,4,4,2,4,3,1,1,2,1,1,"63,2352941176471",impar
529,1,4,1,4,2,4,4,4,4,2,4,3,2,1,2,1,1,"64,7058823529412",impar
530,3,3,1,4,4,4,4,4,4,2,4,3,3,1,2,1,1,"70,5882352941177",impar
531,1,4,1,4,2,4,1,4,4,2,1,1,1,1,2,1,1,"51,4705882352941",impar
533,1,2,1,3,4,3,1,4,4,2,4,3,3,1,2,1,1,"58,8235294117647",impar
